# SHOT START
# legend_version=4
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_capture_enabled_cfg = 1 when MCPWM capture is enabled by configuration
# tach_capture_init_ok = 1 when MCPWM capture initialized successfully
# tach_capture_active = 1 after MCPWM capture has observed events in this run
# tach_capture_event_count = number of capture ISR events seen since last reset
# tach_capture_last_period_us = most recent MCPWM capture period converted to microseconds
# tach_capture_last_edge = last capture edge enum reported by MCPWM
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_capture_enabled_cfg,tach_capture_init_ok,tach_capture_active,tach_capture_event_count,tach_capture_last_period_us,tach_capture_last_edge,tach_timeout
105889,8.823,8.808,9.000,9.000,9.000,9.000,0.000,61.18,0.6118,4.036,4.070,61.18,61.18,0.00,0,0,-2.93992,61.18,61.18,0.00,0,0,61.18,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.04,59.92,1.12,8.815,8.844,3.701,3.695,0.010,-0.000,0.224,61.18,61,0.0881,10374,2891.84,2607.77,2620.62,3930.92,1.500,2620.62,0,2,804,22925,0,1,1,1,23709,6359,1,0,1082293207
105991,8.792,8.801,9.000,9.000,9.000,9.000,0.000,61.49,0.6149,4.036,4.064,61.49,61.49,0.00,0,0,-2.95153,61.49,61.49,0.00,0,0,61.49,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.40,60.24,1.17,8.807,8.834,3.722,3.871,-0.016,-0.001,0.249,61.49,62,-0.1663,9352,3207.87,2612.39,2620.62,3930.92,1.500,2620.62,0,2,815,23665,0,1,1,1,24460,1671,1,0,1082277965
106091,8.820,8.808,9.000,9.000,9.000,9.000,0.000,61.65,0.6165,4.039,4.057,61.65,61.65,0.00,0,0,-2.96347,61.65,61.65,0.00,0,0,61.65,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.75,60.61,1.13,8.813,8.837,3.763,3.874,0.008,-0.001,0.238,61.65,61,0.1812,12574,2385.88,2615.35,2620.62,3930.92,1.500,2620.62,0,2,822,24409,0,1,1,1,25211,11300,1,0,1082263622
106195,8.831,8.829,9.000,9.000,9.000,9.000,0.000,61.60,0.6160,4.038,4.052,61.60,61.60,0.00,0,0,-2.97381,61.60,61.60,0.00,0,0,61.60,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.58,60.57,1.00,8.834,8.859,3.761,3.771,-0.003,-0.001,0.181,61.60,61,0.3021,11946,2511.30,2638.95,2729.12,4690.67,1.719,2729.12,0,2,831,25045,0,1,1,1,25856,4710,1,0,1082250750
106295,8.834,8.837,9.000,9.000,9.000,9.000,0.000,61.68,0.6168,4.036,4.046,61.68,61.68,0.00,0,0,-2.98347,61.68,61.68,0.00,0,0,61.68,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.57,60.62,0.95,8.842,8.866,3.761,3.798,-0.009,-0.001,0.163,61.68,62,-0.4644,9346,3209.93,2671.41,2729.12,4690.67,1.719,2729.12,0,2,840,25583,0,1,1,1,26402,980,1,0,1082238764
106399,8.841,8.840,9.000,9.000,9.000,9.000,0.000,61.84,0.6184,4.036,4.041,61.84,61.84,0.00,0,0,-2.99307,61.84,61.84,0.00,0,0,61.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.75,60.82,0.94,8.845,8.868,3.777,3.856,-0.005,-0.001,0.159,61.84,62,0.1182,11104,2701.73,2686.71,2729.12,4690.67,1.719,2701.73,1,1,848,26053,0,1,1,1,26880,2925,1,0,1082227479
106502,8.819,8.828,9.000,9.000,9.000,9.000,0.000,62.18,0.6218,4.040,4.037,62.18,62.18,0.00,0,0,-3.00312,62.18,62.18,0.00,0,0,62.18,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,62.32,61.30,1.02,8.832,8.850,3.818,4.032,-0.014,-0.002,0.197,62.18,62,0.2648,6102,4916.42,2701.97,2729.12,4690.67,1.719,2729.12,0,2,861,26417,0,1,1,1,27257,6004,1,0,1082217096
106641,8.833,8.837,9.000,9.000,9.000,9.000,0.000,62.35,0.6235,4.046,4.032,62.35,62.35,0.00,0,0,-3.01752,62.35,62.35,0.00,0,0,62.35,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,62.65,61.69,0.96,8.841,8.858,3.860,4.008,-0.009,-0.002,0.178,62.35,62,-0.0719,6881,4359.83,2784.73,2871.55,4512.44,1.571,2871.55,0,2,876,26791,0,1,1,1,27645,3088,1,0,1082207942
106742,8.881,8.866,9.000,9.000,9.000,9.000,0.000,62.26,0.6226,4.049,4.027,62.26,62.26,0.00,0,0,-3.03064,62.26,62.26,0.00,0,0,62.26,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,62.50,61.71,0.79,8.870,8.887,3.870,3.817,0.013,-0.001,0.115,62.26,62,-0.1125,8900,3370.79,2827.10,2871.55,4512.44,1.571,2871.55,0,2,886,26932,0,1,1,1,27796,1720,1,0,1082196596
106842,8.850,8.855,9.000,9.000,9.000,9.000,0.000,62.55,0.6255,4.052,4.025,62.55,62.55,0.00,0,0,-3.03912,62.55,62.55,0.00,0,0,62.55,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,62.84,61.98,0.86,8.859,8.874,3.886,3.987,-0.010,-0.001,0.140,62.55,63,-0.1698,6767,4433.28,2843.10,2871.55,4512.44,1.571,2871.55,0,2,897,27197,0,1,1,1,28072,2867,1,0,1082187699
106950,8.883,8.871,9.000,9.000,9.000,9.000,0.000,62.53,0.6253,4.055,4.023,62.53,62.53,0.00,0,0,-3.04724,62.53,62.53,0.00,0,0,62.53,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,62.80,62.04,0.76,8.874,8.890,3.895,3.887,0.010,-0.001,0.109,62.53,63,-0.0420,7067,4245.08,2954.30,3376.32,4318.55,1.279,3376.32,0,2,909,27392,0,1,1,1,28279,3094,1,0,1082182793
107052,8.855,8.861,9.000,9.000,9.000,9.000,0.000,62.81,0.6281,4.059,4.022,62.81,62.81,0.00,0,0,-3.05540,62.81,62.81,0.00,0,0,62.81,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.16,62.34,0.83,8.864,8.877,3.916,4.034,-0.009,-0.001,0.133,62.81,62,0.4143,10157,2953.63,3106.22,3376.32,4318.55,1.279,3376.32,0,2,918,27689,0,1,1,1,28584,1766,1,0,1082178837
107152,8.877,8.874,9.000,9.000,9.000,9.000,0.000,62.80,0.6280,4.062,4.021,62.80,62.80,0.00,0,0,-3.06303,62.80,62.80,0.00,0,0,62.80,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.13,62.39,0.74,8.877,8.890,3.924,3.954,-0.000,-0.001,0.107,62.80,63,-0.0309,8050,3726.71,3203.46,3376.32,4318.55,1.279,3376.32,0,2,929,27905,0,1,1,1,28811,1664,1,0,1082175744
107254,8.883,8.883,9.000,9.000,9.000,9.000,0.000,62.84,0.6284,4.063,4.020,62.84,62.84,0.00,0,0,-3.07010,62.84,62.84,0.00,0,0,62.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.10,62.41,0.69,8.886,8.899,3.923,3.932,-0.002,-0.001,0.090,62.84,63,-0.4195,8765,3422.70,3274.97,3376.32,4318.55,1.279,3422.70,1,1,939,28121,0,1,1,1,29037,1749,1,0,1082173497
107354,8.860,8.872,9.000,9.000,9.000,9.000,0.000,63.10,0.6310,4.067,4.019,63.10,63.10,0.00,0,0,-3.07736,63.10,63.10,0.00,0,0,63.10,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.44,62.68,0.76,8.875,8.887,3.941,4.079,-0.017,-0.001,0.113,63.10,64,-0.4539,8314,3608.37,3116.27,2834.14,3643.89,1.286,2834.14,0,2,949,28289,0,1,1,1,29214,1682,1,0,1082171840
107459,8.905,8.888,9.000,9.000,9.000,9.000,0.000,63.06,0.6306,4.071,4.019,63.06,63.06,0.00,0,0,-3.08463,63.06,63.06,0.00,0,0,63.06,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.44,62.77,0.66,8.891,8.902,3.958,3.949,0.016,-0.001,0.085,63.06,63,-0.1903,7508,3995.74,3014.70,2834.14,3643.89,1.286,2834.14,0,2,959,28540,0,1,1,1,29475,5008,1,0,1082170850
107562,8.884,8.886,9.000,9.000,9.000,9.000,0.000,63.21,0.6321,4.075,4.020,63.21,63.21,0.00,0,0,-3.09141,63.21,63.21,0.00,0,0,63.21,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.59,62.92,0.67,8.888,8.900,3.966,4.014,-0.004,-0.001,0.089,63.21,63,0.1461,6665,4501.13,2949.70,2834.14,3643.89,1.286,2834.14,0,2,970,28773,0,1,1,1,29719,7442,1,0,1082170806
107704,8.900,8.901,9.000,9.000,9.000,9.000,0.000,63.27,0.6327,4.077,4.021,63.27,63.27,0.00,0,0,-3.10348,63.27,63.27,0.00,0,0,63.27,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.49,62.91,0.58,8.904,8.915,3.960,3.975,-0.004,-0.001,0.064,63.27,63,-0.0384,6379,4702.93,2969.40,3273.78,4754.78,1.452,3273.78,0,2,986,29055,0,1,1,1,30017,1667,1,0,1082171330
107842,8.905,8.907,9.000,9.000,9.000,9.000,0.000,63.42,0.6342,4.080,4.022,63.42,63.42,0.00,0,0,-3.11469,63.42,63.42,0.00,0,0,63.42,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.60,63.05,0.55,8.909,8.920,3.969,4.011,-0.004,-0.001,0.057,63.42,63,0.3384,7446,4029.01,3128.24,3273.78,4754.78,1.452,3273.78,0,2,1001,29283,0,1,1,1,30259,1668,1,0,1082173585
107946,8.904,8.908,9.000,9.000,9.000,9.000,0.000,63.56,0.6356,4.083,4.024,63.56,63.56,0.00,0,0,-3.12272,63.56,63.56,0.00,0,0,63.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.76,63.22,0.54,8.910,8.920,3.982,4.052,-0.007,-0.001,0.057,63.56,64,-0.2156,8062,3721.16,3199.26,3273.78,4754.78,1.452,3273.78,0,2,1011,29433,0,1,1,1,30419,1722,1,0,1082177126
108048,8.898,8.903,9.000,9.000,9.000,9.000,0.000,63.74,0.6374,4.088,4.025,63.74,63.74,0.00,0,0,-3.12841,63.74,63.74,0.00,0,0,63.74,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.07,63.49,0.58,8.905,8.913,4.005,4.121,-0.007,-0.001,0.067,63.74,64,0.1534,8880,3378.38,3247.01,3273.78,4754.78,1.452,3378.38,1,1,1022,29612,0,1,1,1,30609,1102,1,0,1082180647
108148,8.926,8.924,9.000,9.000,9.000,9.000,0.000,63.63,0.6363,4.089,4.028,63.63,63.63,0.00,0,0,-3.13548,63.63,63.63,0.00,0,0,63.63,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.81,63.37,0.45,8.926,8.935,3.997,3.975,0.000,-0.000,0.038,63.63,64,-0.0026,7725,3883.50,3132.11,3011.56,3892.99,1.293,3011.56,0,2,1032,29771,0,1,1,1,30777,2618,1,0,1082183622
108254,8.924,8.918,9.000,9.000,9.000,9.000,0.000,63.80,0.6380,4.093,4.029,63.80,63.80,0.00,0,0,-3.14061,63.80,63.80,0.00,0,0,63.80,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.08,63.59,0.49,8.919,8.927,4.015,4.057,0.005,-0.001,0.047,63.80,64,-0.3663,6943,4320.90,3088.71,3011.56,3892.99,1.293,3011.56,0,2,1044,29978,0,1,1,1,30996,5459,1,0,1082188518
108355,8.906,8.917,9.000,9.000,9.000,9.000,0.000,63.90,0.6390,4.095,4.031,63.90,63.90,0.00,0,0,-3.14518,63.90,63.90,0.00,0,0,63.90,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.16,63.67,0.49,8.919,8.926,4.018,4.096,-0.015,-0.001,0.048,63.90,64,0.2331,8098,3704.62,3060.94,3011.56,3892.99,1.293,3011.56,0,2,1055,30160,0,1,1,1,31189,5075,1,0,1082192171
108460,8.944,8.937,9.000,9.000,9.000,9.000,0.000,63.75,0.6375,4.095,4.033,63.75,63.75,0.00,0,0,-3.14922,63.75,63.75,0.00,0,0,63.75,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.89,63.52,0.37,8.939,8.947,4.009,3.947,0.006,-0.000,0.025,63.75,64,-0.2099,6568,4567.60,3043.16,3011.56,3892.99,1.293,3011.56,0,2,1066,30346,0,1,1,1,31386,5747,1,0,1082195982
108560,8.940,8.932,9.000,9.000,9.000,9.000,0.000,63.89,0.6389,4.097,4.035,63.89,63.89,0.00,0,0,-3.15358,63.89,63.89,0.00,0,0,63.89,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.07,63.67,0.40,8.933,8.941,4.019,4.023,0.007,-0.000,0.031,63.89,64,-0.3589,10139,2958.87,3126.70,3275.20,4803.63,1.467,3275.20,0,2,1077,30592,0,1,1,1,31642,3837,1,0,1082199886
108663,8.929,8.928,9.000,9.000,9.000,9.000,0.000,64.07,0.6407,4.102,4.038,64.07,64.07,0.00,0,0,-3.16020,64.07,64.07,0.00,0,0,64.07,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.34,63.91,0.43,8.929,8.935,4.040,4.086,-0.000,-0.001,0.037,64.07,64,-0.2224,9196,3262.29,3194.52,3275.20,4803.63,1.467,3262.29,1,1,1087,30730,0,1,1,1,31790,4326,1,0,1082203947
108769,8.920,8.928,9.000,9.000,9.000,9.000,0.000,64.15,0.6415,4.104,4.040,64.15,64.15,0.00,0,0,-3.16429,64.15,64.15,0.00,0,0,64.15,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.43,64.00,0.43,8.929,8.935,4.046,4.111,-0.009,-0.001,0.037,64.15,64,-0.0518,7344,4084.97,3223.57,3275.20,4803.63,1.467,3275.20,0,2,1099,30890,0,1,1,1,31962,5340,1,0,1082210534
108869,8.949,8.947,9.000,9.000,9.000,9.000,0.000,64.03,0.6403,4.105,4.044,64.03,64.03,0.00,0,0,-3.16971,64.03,64.03,0.00,0,0,64.03,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.17,63.86,0.31,8.949,8.956,4.036,3.969,0.001,-0.000,0.018,64.03,64,0.2056,7326,4095.00,3246.27,3262.74,4583.37,1.405,3262.74,0,2,1114,31081,0,1,1,1,32168,1721,1,0,1082215140
108975,8.936,8.943,9.000,9.000,9.000,9.000,0.000,64.14,0.6414,4.105,4.046,64.14,64.14,0.00,0,0,-3.17286,64.14,64.14,0.00,0,0,64.14,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.21,63.88,0.33,8.945,8.951,4.030,4.050,-0.010,-0.000,0.021,64.14,64,0.3525,6392,4693.37,3252.20,3262.74,4583.37,1.405,3262.74,0,2,1120,31146,0,1,1,1,32238,6392,1,0,1082222223
109076,8.943,8.947,9.000,9.000,9.000,9.000,0.000,64.15,0.6415,4.105,4.048,64.15,64.15,0.00,0,0,-3.17589,64.15,64.15,0.00,0,0,64.15,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.18,63.87,0.31,8.949,8.955,4.027,4.045,-0.006,-0.000,0.018,64.15,65,-0.4290,6332,4737.84,3255.99,3262.74,4583.37,1.405,3262.74,0,2,1131,31312,0,1,1,1,32415,6889,1,0,1082226657
109178,8.949,8.951,9.000,9.000,9.000,9.000,0.000,64.16,0.6416,4.104,4.050,64.16,64.16,0.00,0,0,-3.17876,64.16,64.16,0.00,0,0,64.16,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.16,63.87,0.29,8.952,8.959,4.026,4.041,-0.004,-0.000,0.015,64.16,64,-0.1575,7241,4143.07,3258.42,3262.74,4583.37,1.405,3262.74,0,2,1142,31451,0,1,1,1,32565,2922,1,0,1082230969
109284,8.920,8.930,9.000,9.000,9.000,9.000,0.000,64.49,0.6449,4.109,4.052,64.49,64.49,0.00,0,0,-3.18263,64.49,64.49,0.00,0,0,64.49,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.71,64.29,0.42,8.931,8.934,4.061,4.240,-0.012,-0.001,0.036,64.49,65,-0.3502,6519,4601.93,3225.96,3092.65,4599.33,1.487,3092.65,0,2,1153,31599,0,1,1,1,32724,6252,1,0,1082235160
109385,8.929,8.936,9.000,9.000,9.000,9.000,0.000,64.50,0.6450,4.113,4.054,64.50,64.50,0.00,0,0,-3.18629,64.50,64.50,0.00,0,0,64.50,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.82,64.43,0.39,8.936,8.939,4.080,4.182,-0.008,-0.001,0.032,64.50,65,-0.4772,9872,3038.90,3167.22,3092.65,4599.33,1.487,3038.90,1,1,1162,31695,0,1,1,1,32828,3838,1,0,1082239645
109492,8.956,8.951,9.000,9.000,9.000,9.000,0.000,64.37,0.6437,4.115,4.057,64.37,64.37,0.00,0,0,-3.18938,64.37,64.37,0.00,0,0,64.37,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.63,64.34,0.29,8.952,8.957,4.077,4.045,0.005,-0.000,0.017,64.37,64,0.3047,6687,4486.32,3140.37,3092.65,4599.33,1.487,3092.65,0,2,1173,31832,0,1,1,1,32976,6320,1,0,1082244489
109592,8.978,8.972,9.000,9.000,9.000,9.000,0.000,64.17,0.6417,4.111,4.059,64.17,64.17,0.00,0,0,-3.19127,64.17,64.17,0.00,0,0,64.17,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.16,63.99,0.16,8.973,8.980,4.044,3.902,0.005,0.000,0.004,64.17,64,-0.3026,7546,3975.62,3123.19,3092.65,4599.33,1.487,3092.65,0,2,1184,31951,0,1,1,1,33106,5201,1,0,1082249439
109695,8.944,8.951,9.000,9.000,9.000,9.000,0.000,64.47,0.6447,4.113,4.061,64.47,64.47,0.00,0,0,-3.19402,64.47,64.47,0.00,0,0,64.47,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.53,64.24,0.29,8.952,8.956,4.055,4.133,-0.008,-0.001,0.017,64.47,65,-0.4740,11369,2638.75,3055.26,2934.50,4075.69,1.389,2934.50,0,2,1194,32085,0,1,1,1,33249,3884,1,0,1082253933
109801,8.958,8.957,9.000,9.000,9.000,9.000,0.000,64.47,0.6447,4.114,4.064,64.47,64.47,0.00,0,0,-3.19795,64.47,64.47,0.00,0,0,64.47,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.57,64.31,0.25,8.958,8.963,4.065,4.089,-0.000,-0.000,0.012,64.47,65,-0.1049,7730,3880.98,2996.33,2934.50,4075.69,1.389,2934.50,0,2,1205,32236,0,1,1,1,33411,2800,1,0,1082258255
109937,8.950,8.954,9.000,9.000,9.000,9.000,0.000,64.66,0.6466,4.118,4.070,64.66,64.66,0.00,0,0,-3.20517,64.66,64.66,0.00,0,0,64.66,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.81,64.54,0.28,8.954,8.957,4.082,4.165,-0.005,-0.001,0.016,64.66,65,0.0216,6462,4642.53,2950.70,2934.50,4075.69,1.389,2934.50,0,2,1220,32436,0,1,1,1,33626,4041,1,0,1082264801
110043,8.987,8.977,9.000,9.000,9.000,9.000,0.000,64.41,0.6441,4.116,4.072,64.41,64.41,0.00,0,0,-3.20689,64.41,64.41,0.00,0,0,64.41,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.42,64.29,0.13,8.978,8.983,4.067,3.964,0.011,0.000,0.003,64.41,64,-0.0316,6580,4559.27,3008.32,3251.73,4722.75,1.452,3251.73,0,2,1231,32574,0,1,1,1,33775,3853,1,0,1082277489
110145,8.952,8.958,9.000,9.000,9.000,9.000,0.000,64.69,0.6469,4.118,4.074,64.69,64.69,0.00,0,0,-3.20923,64.69,64.69,0.00,0,0,64.69,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.79,64.54,0.25,8.959,8.961,4.081,4.163,-0.007,-0.001,0.013,64.69,64,0.2470,6234,4812.32,3095.95,3251.73,4722.75,1.452,3251.73,0,2,1242,32701,0,1,1,1,33912,1744,1,0,1082281570
110250,8.964,8.966,9.000,9.000,9.000,9.000,0.000,64.63,0.6463,4.119,4.076,64.63,64.63,0.00,0,0,-3.21119,64.63,64.63,0.00,0,0,64.63,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.71,64.51,0.20,8.967,8.970,4.081,4.097,-0.003,-0.000,0.008,64.63,64,0.4559,8144,3683.69,3152.03,3251.73,4722.75,1.452,3251.73,0,2,1251,32854,0,1,1,1,34074,3801,1,0,1082285569
110350,8.968,8.971,9.000,9.000,9.000,9.000,0.000,64.60,0.6460,4.118,4.078,64.60,64.60,0.00,0,0,-3.21285,64.60,64.60,0.00,0,0,64.60,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.63,64.46,0.17,8.972,8.976,4.075,4.072,-0.004,-0.000,0.005,64.60,65,-0.3884,7956,3770.74,3187.92,3251.73,4722.75,1.452,3251.73,0,2,1262,32976,0,1,1,1,34207,4388,1,0,1082289525
110486,8.981,8.977,9.000,9.000,9.000,9.000,0.000,64.59,0.6459,4.119,4.080,64.59,64.59,0.00,0,0,-3.21548,64.59,64.59,0.00,0,0,64.59,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.59,64.46,0.13,8.978,8.982,4.077,4.034,0.003,0.000,0.003,64.59,65,-0.4529,6205,4834.81,3057.33,2920.32,3812.63,1.306,2920.32,0,2,1278,33168,0,1,1,1,34414,4087,1,0,1082293284
110587,8.983,8.983,9.000,9.000,9.000,9.000,0.000,64.56,0.6456,4.114,4.084,64.56,64.56,0.00,0,0,-3.21806,64.56,64.56,0.00,0,0,64.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.39,64.29,0.09,8.984,8.989,4.055,4.048,-0.001,0.000,0.002,64.56,64,0.2815,7920,3787.88,2965.21,2920.32,3812.63,1.306,2920.32,0,2,1289,33294,0,1,1,1,34551,1428,1,0,1082298818
110687,8.971,8.975,9.000,9.000,9.000,9.000,0.000,64.68,0.6468,4.114,4.085,64.68,64.68,0.00,0,0,-3.21938,64.68,64.68,0.00,0,0,64.68,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.58,64.44,0.14,8.976,8.980,4.066,4.133,-0.006,-0.000,0.004,64.68,65,-0.4308,8957,3349.34,2949.05,2920.32,3812.63,1.306,2920.32,0,2,1300,33456,0,1,1,1,34724,8058,1,0,1082306335
110794,8.956,8.961,9.000,9.000,9.000,9.000,0.000,64.90,0.6490,4.119,4.087,64.90,64.90,0.00,0,0,-3.22158,64.90,64.90,0.00,0,0,64.90,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.04,64.80,0.24,8.961,8.962,4.101,4.251,-0.005,-0.001,0.012,64.90,65,0.2829,7822,3835.34,3042.51,3439.36,4846.38,1.409,3439.36,0,2,1311,33584,0,1,1,1,34863,3514,1,0,1082308985
